prompt,prompt_len,target
Johannes Draconites,19,72.0
Friedrich Eisenlohr,19,50.0
Konrad Johann Martin Langenbeck,31,75.0
Johann Benedict Carpzov II,26,60.0
Ferdinand von Kindermann,24,61.0
Carl Günther Ludovici,21,71.0
Johann Horkel,13,77.0
Mathes Roriczer,15,53.0
Adolf Martin Schlesinger,24,69.0
"Günther XLIII, Prince of Schwarzburg-Sondershausen",50,62.0
Georg Ludwig Kobelt,19,53.0
"Philip III, Count of Hanau-Münzenberg",37,35.0
Georg Karl Ignaz von Fechenbach zu Laudenbach,45,59.0
Johann August Bach,18,37.0
Johann Adam Bergk,17,65.0
"Reinhard III, Count of Hanau",28,40.0
Christian Friedrich Wilhelm von Ompteda,39,50.0
Adolf Clarenbach,16,32.0
Karl Gottfried Hagen,20,80.0
Friedrich-Joachim Stengel,25,93.0
Johann Christian Gottfried Jörg,31,77.0
Gottfried Ernst Groddeck,24,63.0
Carl Gottfried Woide,20,65.0
Johann Friedrich Christoph Kortüm,33,70.0
Bernhard Gustav of Baden-Durlach,32,46.0
Wolfgang von Dalberg,20,64.0
Georg Österreich,16,71.0
Dietrich Ludwig Gustav Karsten,30,42.0
Adrian Diel,11,77.0
Karl Dall,9,79.0
Ferdinand Ulrich,16,89.0
Wilhelm Ernst Tentzel,21,48.0
Heinrich Carl Abraham Eichstaedt,32,76.0
Christian Samuel Theodor Bernd,30,79.0
Aegidius Gelenius,17,61.0
"Philip III, Count of Waldeck",28,53.0
Andreas Acoluthus,17,50.0
Adalbert III of Saxony,22,17.0
Franz Xaver Josef von Unertl,28,75.0
Anna Katharina Schönkopf,24,64.0
Zacharias Hildebrandt,21,69.0
Johann Evangelist Haydn,23,62.0
Johannes Praetorius,19,65.0
Christian Friedrich Witt,24,57.0
Ernst Elias Niebergall,22,28.0
Abel Burja,10,64.0
August Schumann,15,53.0
Karl Friedrich Stäudlin,23,65.0
John I of Werle,15,38.0
Jean Lobstein,13,58.0
Philip Frederick of the Palatinate,34,23.0
Johannes Lecküchner,19,82.0
"William VIII of Jülich, Count of Ravensberg",43,46.0
"Waldemar VI, Prince of Anhalt-Köthen",36,58.0
Margaret of Brunswick-Lüneburg,30,70.0
Helene Liebmann,15,40.0
Christian William of Brandenburg,32,78.0
Adriana of Nassau-Dillenburg,28,28.0
Georg Christian Schemelli,25,82.0
"Karl I, Prince of Anhalt-Zerbst",31,27.0
"William Louis, Prince of Anhalt-Harzgerode",42,66.0
Martin Schalling the Younger,28,76.0
Johann Georg Siegesbeck,23,69.0
Karl Ludwig von Phull,21,69.0
August Seebeck,14,44.0
Carl Wigand Maximilian Jacobi,29,83.0
Heinrich Parler the Elder,25,60.0
Johann Paul Schulthesius,24,68.0
Sophie Charlotte Ackermann,26,78.0
"John Bernard, Count of Lippe",28,39.0
Luise Marie of the Palatinate,29,32.0
Ernst Soner,11,40.0
Princess Charlotte Wilhelmine of Saxe-Coburg-Saalfeld,53,82.0
Eleonore Prochaska,18,28.0
Karl Ludwig von Pöllnitz,24,83.0
"Daniel, Count of Waldeck",24,47.0
Eduard Duller,13,44.0
Jakob von Liebenstein,21,46.0
Herz Cerfbeer of Medelsheim,27,67.0
Johann Adam Breunig,19,67.0
Heinfried Birlenbach,20,80.0
Matthias Hoe von Hoenegg,24,65.0
Ulrich Fugger the Elder,23,69.0
Ernst Platner,13,74.0
Jakob Fugger the Elder,22,71.0
Karl Ludwig von Woltmann,24,47.0
Melchior Teschner,17,51.0
Georg Wolfgang Wedel,20,76.0
Hartmann Beyer,14,61.0
Maximus von Imhof,17,59.0
Ulrich Molitor,14,65.0
Countess Palatine Francisca Christina of Sulzbach,49,80.0
Jutta Lampe,11,83.0
Tobias Clausnitzer,18,65.0
Ernst Christoph Homburg,23,76.0
Friedrich Georg Pape,20,50.0
Johann Carion,13,38.0
Agapit Goratchek,16,65.0
Gottfried Wilhelm Becker,24,76.0
William Berczy,14,69.0
Walter Savitch,14,78.0
Edmund M. Clarke,16,75.0
Norman Abramson,15,88.0
Konrad Fiałkowski,17,81.0
William Harvey,14,79.0
Louis Braille,13,43.0
Percy Bysshe Shelley,20,30.0
Archduke Maximilian Francis of Austria,38,45.0
Leopold Joseph von Daun,23,61.0
Archduke Rudolf of Austria,26,43.0
Jonathan Dowling,16,65.0
Archduchess Maria Anna of Austria,33,55.0
John J. Morgan,14,79.0
Isaac Massa,11,57.0
John Kerr,9,60.0
Cuthbert Powell,15,74.0
Elisabeth of Habsburg,21,69.0
Maurice Benyovszky,18,40.0
Archduke John of Austria,24,77.0
Roelof Koets,12,62.0
Karl Mack von Leiberich,23,76.0
Guarinus of Palestrina,22,74.0
Jurij Vega,10,48.0
Justus Falckner,15,52.0
Paul Guldin,11,66.0
Claudia Felicitas of Austria,28,23.0
Georg Joachim Rheticus,22,60.0
"Charles Chetwynd-Talbot, 2nd Earl Talbot",40,72.0
"John Talbot, 10th Earl of Shrewsbury",36,53.0
Élisabeth Sophie Chéron,23,63.0
Cecil Bødker,12,93.0
Ercole Bentivoglio,18,48.0
"George Talbot, 9th Earl of Shrewsbury",37,64.0
Archduchess Maria Maddalena of Austria,38,42.0
Jehu Jones,10,66.0
Archduchess Maria Josepha of Austria,36,16.0
William J. Lewis,16,62.0
Katherine Mary of Lorraine,26,44.0
Anthony Sowell,14,62.0
Liu Shuoyou,11,26.0
Ludwig Gundacker von Althan,27,82.0
Diane d'Andoins,15,66.0
Franz von Koller,16,59.0
Andreas von Auersperg,21,37.0
Johann Joseph Thalherr,22,77.0
Johann Franz Hieronymus Brockmann,33,65.0
Henry V of Rosenberg,20,33.0
Tomàs Milans i Godayol,22,70.0
Martianus Hiberniensis,22,56.0
Senta Wengraf,13,96.0
Françoise de Montmorency-Fosseux,32,75.0
La Belle Châteauneuf,20,41.0
"Sophie Dawes, Baronne de Feuchères",34,50.0
Heinrich Hüttenbrenner,22,31.0
Charlotte de Sauve,18,66.0
Jakob Frint,11,68.0
Johann Karl Herberstein,23,68.0
William of Roggendorf,21,60.0
"Sigismund Francis, Archduke of Austria",38,35.0
Leopold Biwald,14,74.0
Simon Rettenpacher,18,72.0
Simon von Lämel,15,79.0
William Caxton,14,69.0
Leo Müller,10,45.0
Joseph Schreyvogel,18,64.0
Josef Munggenast,16,61.0
Cesare Facchinetti,18,75.0
Matthias Steinl,15,83.0
Louis Philippe de Bombelles,27,63.0
Karl Aloys zu Fürstenberg,25,39.0
Domenico Fossati,16,42.0
Pyrrhus II of Epirus,20,37.0
"John I of Brienne, Count of Eu",30,44.0
Maximilian Emanuel of Württemberg-Winnental,43,20.0
Ferdinand Ochsenheimer,22,55.0
Andreas Knopken,15,71.0
Joachim Curaeus,15,41.0
Master Gerhard,14,61.0
Matthäus Prätorius,18,69.0
Friedrich Gottlieb Barth,24,56.0
Alexander Mack,14,56.0
Johann Georg August Galletti,28,78.0
Georg Christian Unger,21,56.0
Maria of Jever,14,75.0
Joss Fritz,10,55.0
"August, Prince of Hohenlohe-Öhringen",36,69.0
Bruno Franz Leopold Liebermann,30,85.0
Karl Heinrich Lang,18,71.0
Georg Gustav Fülleborn,22,34.0
Gregor Brück,12,74.0
Moses Ephraim Kuh,17,59.0
Christoph Friedrich Richter,27,35.0
Johann Gottlob Nathusius,24,75.0
Karl Philipp von Greifenclau zu Vollraths,41,64.0
Anselm of Havelberg,19,59.0
Georg Albrecht of Saxe-Weissenfels,34,44.0
Karl Albert von Kamptz,22,80.0
Augusta Louise zu Stolberg-Stolberg,35,82.0
Daniel Brendel von Homburg,26,60.0
Johann Christoph Wolf,21,56.0
John VII of Hoya,16,35.0
Carl Ludwig Wilhelm Grolman,27,54.0
Franziska Stading,17,73.0
Ignaz Kögler,12,66.0
Christof Beetz,14,76.0
Ludwig von Vincke,17,70.0
Philipp Friedrich Hiller,24,70.0
"Rudolf IV, Margrave of Hachberg-Sausenberg",42,60.0
Walram of Jülich,16,45.0
Ignaz Agricola,14,68.0
Louis Gunther of Nassau,23,29.0
Adolf van Nieuwenaar,20,44.0
"John VII, Count of Oldenburg",28,63.0
Johann Christian von Boyneburg,30,50.0
Samuel Eisenmenger,18,51.0
Johann Joachim Schwabe,22,70.0
Johann Silberschlag,19,70.0
Franz Gerhard Wegeler,21,83.0
Jacob Hoeppner,14,78.0
Daniel Cramer,13,69.0
Caspar Schütz,13,54.0
Nikolaus von Dinkelsbühl,24,67.0
Otto von Gerlach,16,48.0
"Albert II, Count of Holstein-Segeberg",37,34.0
Friedrich Benjamin Osiander,27,63.0
Heinrich Philipp Konrad Henke,29,57.0
Adam Elias von Siebold,22,53.0
Henry I of Werle,16,46.0
Jacobus Deketh,14,38.0
Johann Friedrich Ferdinand Fleck,32,44.0
Johann Pistorius the Elder,26,80.0
Johann Schweikhard von Kronberg,31,73.0
Nicolaus Zangius,16,48.0
Prince Franz Adolph of Anhalt-Bernburg-Schaumburg-Hoym,54,60.0
Franz Ludwig von Erthal,23,65.0
Ottilie of Katzenelnbogen,25,66.0
Duke Frederick of Saxe-Weimar,29,26.0
Frederic Nausea,15,56.0
Johann Schwebel,15,50.0
"Simon Henry, Count of Lippe",27,48.0
Albert I of Käfernburg,22,62.0
Ferdinand Oechsle,17,78.0
"Herman Fortunatus, Margrave of Baden-Rodemachern",48,70.0
"Bernard V, Lord of Lippe",24,75.0
"Bernard VI, Lord of Lippe",25,45.0
"Simon I, Lord of Lippe",22,83.0
"Christian, Landgrave of Hesse-Wanfried-Rheinfels",48,66.0
"Christian, Prince of Nassau-Dillenburg",38,51.0
"Simon III, Lord of Lippe",24,70.0
Johann Georg Wunderlich,23,64.0
"Otto, Lord of Lippe",19,59.0
"James III, Margrave of Baden-Hachberg",37,28.0
Georg Rhau,10,60.0
"Otto I, Count of Salm",21,70.0
Christopher of Baden-Durlach,28,39.0
Wilhelm von Gennep,18,12.0
"Adolf I, Count of the Mark",26,49.0
Otto I,6,21.0
Adolph II of the Marck,22,97.0
Hendrik Godfried Duurkoop,25,42.0
Ernst Daniel Adami,18,79.0
Heinrich Schickhardt,20,77.0
Johann Christoph Wichmannshausen,32,64.0
Dorothea Hedwig of Brunswick-Wolfenbüttel,41,22.0
Johann George Tromlitz,22,80.0
Johannes Lippius,16,27.0
Christian Joseph Jagemann,25,69.0
Samuel Gotthold Lange,21,70.0
John II of Werle,16,37.0
Matthias Knutzen,16,28.0
Adam Gottlob Casparini,22,73.0
"John II, Lord of Mecklenburg",28,49.0
David Pareus,12,74.0
Adam Friedrich Zürner,21,63.0
William of Hirsau,17,61.0
Cornelia Schlosser,18,27.0
Karl Gustav Himly,17,65.0
Christian Gärtner,17,77.0
Johann Pistorius the Younger,28,61.0
Elisabeth von Staegemann,24,74.0
Gustav Adolf Michaelis,22,50.0
David Origanus,14,71.0
Johannes Abezier,16,49.0
Georg von Blumenthal,20,60.0
Johann Christian Wiegleb,24,68.0
Ernst Eiselen,13,53.0
Friedrich von Schrötter,23,72.0
Georg Samuel Dörffel,20,45.0
Johann Georg von Soldner,24,57.0
Johann Jakob von Wunsch,23,71.0
Wilhelm Dietrich von Buddenbrock,32,85.0
Carl Friedrich Meerwein,23,73.0
Ferdinand Maria Innocenz of Bavaria,35,39.0
Anna Magdalene of Hanau,23,73.0
Jean-Philippe Baratier,22,19.0
Johann Ludwig Brassicanus,25,44.0
Lorenz Fries,12,61.0
Jean Georg Haffner,18,55.0
Kurt Rudolph,12,91.0
Gottfried Heinrich Gloger,25,69.0
Nikolaus von Maillot de la Treille,34,60.0
Hermann of Wied,15,75.0
Wilhelm Knabe,13,98.0
Reinhold Curicke,16,57.0
Wolfgang Jerat,14,65.0
Karl Mager,10,48.0
Ernst Theodor Echtermeyer,25,39.0
Johann Georg Heine,18,67.0
Karl Friedrich Wilhelm Dieterici,32,69.0
Johann Carl Freiesleben,23,72.0
Emil Osann,10,55.0
Christiane Luise Amalie Becker,30,19.0
August Zeune,12,75.0
Gottfried Heinsius,18,60.0
Anna Margareta von Haugwitz,27,51.0
Adolf VII of Berg,17,39.0
Ulrich Rülein von Calw,22,58.0
"Bernard VII, Lord of Lippe",26,83.0
"William II, Prince of Nassau-Dillenburg",39,54.0
"Bernhard VIII, Count of Lippe",29,36.0
Otto III,8,69.0
Cornelius Loos,14,49.0
Petrus Lotichius Secundus,25,32.0
Adam Orazio Casparini,21,69.0
Johann Carl Friedrich Dauthe,28,70.0
Heino Heinrich Graf von Flemming,32,74.0
Friedrich Adolf Struve,22,59.0
"John III, Lord of Mecklenburg",29,23.0
Herman Adolf van Lippe-Detmold,30,50.0
Herbert Binkert,15,97.0
"Christian Günther III, Prince of Schwarzburg-Sondershausen",58,58.0
Jutta of Thuringia,18,51.0
Leunclavius,11,59.0
Georg Matthias Bose,19,51.0
Hans von Gersdorff,18,74.0
Ekkehard,8,23.0
Georg Franck von Franckenau,27,61.0
Johann von Sitsch,17,56.0
Georg Friedrich of Hohenlohe-Neuenstein-Weikersheim,51,76.0
Johannes Coler,14,73.0
"William II, Count of Weimar",27,73.0
Caroline von Humboldt,21,63.0
Heinrich Wilhelm Ludolf,23,57.0
Johann Sigismund Elsholtz,25,65.0
Johann Bernhard Wilhelm Lindenberg,34,70.0
Johann Philipp Du Roi,21,44.0
Georg Friedrich Meier,21,59.0
Karl von Weishaupt,18,66.0
Johannes Caselius,17,80.0
Franz Kaspar Hesselbach,23,57.0
Adolph Ferdinand Gehlen,23,40.0
Peter Thomas,12,95.0
Lorenz von Westenrieder,23,81.0
Johann Melchior Goeze,21,69.0
Otto I,6,58.0
Murad I,7,63.0
Otto II,7,42.0
Louis the Bearded,17,60.0
Eckhard I,9,41.0
Wilhelm Abraham Teller,22,70.0
Ludwig Dringenberg,18,67.0
Friedrich Staps,15,17.0
Johann Friedrich Osiander,25,68.0
Balthasar Kindermann,20,70.0
Gabriel Rollenhagen,19,36.0
Franz Albert Aepinus,20,77.0
Hermann Wesel,13,63.0
Adam Christian Gaspari,22,78.0
"Joachim I, Prince of Anhalt-Dessau",34,52.0
Georg Baring,12,75.0
Caspar Danckwerth,17,65.0
Friedrich von Ahlefeldt,23,46.0
Alexander Kölpin,16,70.0
Christian Ernest of Stolberg-Wernigerode,40,80.0
Carl Ferdinand Hommel,21,59.0
Konrad Kleinschmidt,19,64.0
Moritz Graf von Strachwitz,26,25.0
Ludwig Albrecht Gebhardi,24,67.0
Günther I of Schwalenberg,25,11.0
Friederike Krüger,17,59.0
Anton Eisenhoit,15,50.0
Heinrich Klee,13,40.0
Johannes Aurifaber,18,56.0
Andreas Stöberl,15,50.0
Johannes Jährig,15,48.0
Christoph Franz von Buseck,26,81.0
Henry Ernest of Stolberg-Wernigerode,36,62.0
"Alexander Hermann, Count of Wartensleben",40,84.0
"Johann Friedrich Alexander, Prince of Wied",42,85.0
Johann Philipp Gabler,21,73.0
Christoph Franz von Hutten,26,56.0
François de Cuvilliés the Younger,33,46.0
Joseph Mendelssohn,18,78.0
Raphael Levi Hannover,21,94.0
Wolf Heidenheim,15,75.0
David ben Naphtali Fränkel,26,55.0
Franz Ernst Heinrich Spitzner,29,54.0
Gisela Agnes of Rath,20,71.0
Princess Maria Leopoldine of Anhalt-Dessau,42,23.0
Catherine of Guelders,21,58.0
Arnold II,9,58.0
Johannes Wanning,16,66.0
"William III, Landgrave of Hesse",31,29.0
François-René Gebauer,21,72.0
Wolfgang of the Palatinate,26,64.0
"Berthold II, Count of Andechs",29,46.0
"Charles William, Margrave of Baden-Rodemachern",46,39.0
Georg Benedikt Winer,20,69.0
Aloys Hirt,10,78.0
Johann Balthasar Schupp,23,51.0
Lorenz Florenz Friedrich von Crell,34,72.0
Caspar Neumann,14,67.0
Friedrich Rühs,14,39.0
Oswald Glaidt,13,56.0
Louise of Stolberg-Wernigerode,30,85.0
Henryk Stroband,15,61.0
Ludwig Babenstuber,18,66.0
Johann Adam von Ickstatt,24,74.0
Martin Moller,13,59.0
Wilhelm Ludwig von Eschwege,27,78.0
David Friesenhausen,19,78.0
Ulrich Han,10,53.0
Cyriacus Spangenberg,20,76.0
Eucharius Gottlieb Rink,23,75.0
Marcus Fronius,14,54.0
Wilhelm Pfeil,13,76.0
August Ahlborn,14,61.0
Valentin Ickelshamer,20,47.0
"Frederick Henry, Duke of Saxe-Zeitz-Pegau-Neustadt",50,45.0
Karl Wilhelm Salice Contessa,28,48.0
Johann Adam Itzstein,20,80.0
Friedrich Wilhelm Berner,24,47.0
Bernhard Heine,14,46.0
Johann Adam Seuffert,20,63.0
Ludwig Andreas Gotter,21,74.0
Andreas Althamer,16,39.0
Franz Ignaz von Streber,23,83.0
"John Ernest, Count of Hanau-Münzenberg",38,29.0
Victoria Charlotte of Anhalt-Zeitz-Hoym,39,57.0
"Louis I, Count of Löwenstein",28,60.0
Princess Louise of Saxe-Meiningen,33,53.0
Karl Abraham von Zedlitz,24,62.0
Andreas Hakenberger,19,53.0
Andreas Gottschalk,18,34.0
Florens-Louis Heidsieck,23,79.0
Johann Adam von Bicken,22,40.0
Christoph Hackner,17,78.0
Lili Schönemann,15,59.0
Wilhelm Mülhens,15,79.0
Gottfried Heinrich Trost,24,86.0
Thomas Selle,12,64.0
Georg Joachim Zollikofer,24,58.0
Johann Friedrich Mende,22,55.0
Karl Heinrich Gottfried Witte,29,78.0
Erdmuthe Dorothea of Reuss-Ebersdorf,36,56.0
Sophie von Kühn,15,15.0
Johann Adam Kulmus,18,56.0
Friedrich Wilhelm von Dossow,28,89.0
Frederick Charles of Stolberg-Gedern,36,74.0
Constantin Christian Dedekind,29,87.0
Catherine Ursula of Hohenzollern-Hechingen,42,30.0
Johanna Elisabeth of Nassau-Hadamar,35,28.0
"Otto, Count of Lippe-Brake",26,68.0
"Henry X, Count of Reuss-Lobenstein",34,50.0
Countess Palatine Anna Magdalena of Birkenfeld-Bischweiler,58,53.0
"Henry II, Count of Reuss-Gera",29,63.0
"Josias II, Count of Waldeck-Wildungen",37,33.0
Adolf IX of Berg,16,58.0
Engelbert III of the Mark,25,58.0
"Christopher, Duke of Brunswick-Harburg",38,36.0
"Rudolf III, Margrave of Hachberg-Sausenberg",43,85.0
Friedrich Samuel Bock,21,70.0
"Engelbert I, Count of Berg",26,29.0
Friedrich Christoph Perthes,27,71.0
Christian Friedrich Nasse,25,73.0
Jan Mráz,8,3.0
August Wilhelm von Bismarck,27,33.0
Andreas Fromm,13,62.0
Henry of Kalden,15,69.0
Johann Christoph Müller,23,48.0
Johann Moritz Gustav Manderscheid Blankenheim,45,87.0
Anna Nitschmann,15,45.0
Mechthild of the Palatinate,27,63.0
Johann Leonhard Frisch,22,77.0
Jonathan Friedrich Bahnmaier,28,67.0
Lazarus Bendavid,16,70.0
Sibylle of Bavaria,18,30.0
Christian Friedrich Hunold,26,41.0
Heinrich Christoph Wilhelm Sigwart,34,55.0
Heinrich Christian von Senckenberg,34,64.0
"Bernard I, Lord of Lippe",24,68.0
Wolfgang Ludwig Krafft,22,71.0
Michael Lilienthal,18,64.0
Otto VIII of Wittelsbach,24,29.0
Christoph Hartknoch,19,43.0
"George Gustavus, Count Palatine of Veldenz",42,70.0
Carl Friedrich Ernst Frommann,29,72.0
Bernard of Hildesheim,21,54.0
Benedict Stattler,17,69.0
Carl Friedrich Heinrich Graf von Wylich und Lottum,50,74.0
Moses ben Isaac ha-Levi Minz,28,62.0
Jacob Gretser,13,63.0
Johann Leonhard Pfaff,21,73.0
Johann Friedrich Flatt,22,62.0
Therese of Brunswick-Wolfenbüttel,33,50.0
Moritz Georg Weidmann,21,57.0
Wilhelm Meinhold,16,54.0
Christoph Schütz,16,60.0
Avraham Barkai,14,99.0
Jacob Masen,11,75.0
Claus Biederstaedt,18,92.0
Barbara Rütting,15,93.0
Johann Birnbaum,15,69.0
Erdmann II of Promnitz,22,62.0
Franz Christoph von Hutten zum Stolzenberg,42,64.0
Anselm Franz von Ingelheim,26,66.0
Johannes Numeister,18,12.0
Adolphus von Dalberg,20,59.0
Johann Leonhard Hug,19,81.0
Johann Ludwig Konrad Allendorf,30,80.0
Ludwig Ross,11,53.0
Carl Haller von Hallerstein,27,43.0
August Emil Braun,17,47.0
Johann Philipp Siebenkees,25,37.0
Wilhelm von Le Suire,20,65.0
Gerhard von Hosstrup,20,80.0
Johann Georg Schröpfer,22,44.0
"Elias Rudolph Camerarius, Sr.",29,54.0
Ottmar Luscinius,16,50.0
"Charles Schomberg, 2nd Duke of Schomberg",40,48.0
Georg Pictorius,15,69.0
August Kestner,14,76.0
Rosa Maria Assing,17,57.0
John William Gerard de Brahm,28,82.0
Valentin Alberti,16,62.0
Justus Sieber,13,67.0
Georg Joachim Göschen,21,76.0
Wilhelm Malte I,15,71.0
Johannes Zwick,14,46.0
Ernst August Geitner,20,69.0
Gustav Simon,12,47.0
Jean Marie Rodolph Eickemayer,29,72.0
Johann Christoph von Ponickau,29,74.0
Heinrich Compenius l'ancien,27,86.0
Gottfried Vopelius,18,70.0
Johann Gottlob Harrer,21,52.0
Bernhard Bogentanz,18,41.0
Karl Gottlob Kühn,17,86.0
Johann Lauremberg,17,68.0
Johann Wilhelm Bornemann,24,84.0
Dan van Husen,13,75.0
Albrecht Giese,14,56.0
Ernst Karl Friedrich Wunderlich,31,33.0
Elisabeth of Brunswick-Wolfenbüttel,35,51.0
Gero,4,23.0
Magnus von Wedderkop,20,83.0
Joachim Ludwig Schultheiss von Unfriedt,39,75.0
Arnold Stapil,13,56.0
Karl Franz Neander von Petersheide,34,67.0
Carl Joseph Hiernle,19,55.0
August Ernst Zinserling,23,51.0
Fryderyk Jerzy Tuve,19,71.0
Joseph Wilhelm von Hohenzollern-Hechingen,41,60.0
Henryk von Wacholz,18,17.0
Paul Josef von Riegger,22,70.0
Heinrich Paxmann,16,49.0
Johann Jakob Quandt,19,86.0
Johann Christian Schöttgen,26,64.0
Johanna Stegen,14,49.0
Pribislaw I,11,48.0
Johann Leonhard Rost,20,39.0
Susette Borkenstein Gontard,27,33.0
Manfred Christ,14,80.0
Ferdinand Weerth,16,62.0
"Charles Thomas, Prince of Löwenstein-Wertheim-Rosenberg",55,66.0
Ernst Georg Sonnin,18,81.0
Johann Nikolaus Friedrich Brauer,32,59.0
Samuel Benedikt Carpzov,23,60.0
Konrad Engelbert Oelsner,24,64.0
Gerhard von Holy,16,49.0
Heinrich Compenius,18,66.0
Charles-Joseph Riepp,20,65.0
Juliane Charlotte Friederike Grimm,34,61.0
Christian Friedrich Quandt,26,40.0
Johann Heinrich Clasing,23,50.0
Christian Minkus,16,78.0
Johann Samuel Diterich,22,76.0
Hieronymus Sillem,17,65.0
Friedrich Christoph Müller,26,57.0
Leonardus Offerhaus,19,80.0
Frederick of Strasbourg,23,32.0
Friedrich Konrad Hiller,23,75.0
Matthias Gretz,14,63.0
Bernard II of Werle,19,81.0
Anna Elisabeth of Anhalt-Bernburg,33,33.0
Michael Wieck,13,93.0
Maria of Brunswick-Lüneburg,27,60.0
"Maximilian Henry, Count of Wied-Runkel",38,25.0
Countess Palatine Elisabeth of Simmern-Sponheim,47,54.0
Traugott Gerber,15,33.0
Johann Ernst Hebenstreit,24,54.0
Ulrich Krafft,13,61.0
Jacob Fidelis Ackermann,23,50.0
Sigmund Feyerabend,18,62.0
Johann Christian Senckenberg,28,65.0
Hans Kotter,11,56.0
Heilwig of Lippe,16,48.0
Christian Beyer,15,53.0
Johann Wilhelm Baier,20,48.0
Johann Eustach von Görtz,24,84.0
Hans Ulrich von Schaffgotsch,28,40.0
Joseph Kögler,13,52.0
Johann Samuel Friedrich von Boehmer,35,68.0
Johann Georg Stockmar,21,59.0
Johann Friedrich Fritzsche,26,45.0
Arnold von Westfalen,20,56.0
Piotr II von Burgsdorff,23,89.0
Johannes Grau,13,76.0
Samuel Christian Hollmann,25,91.0
Johannes Kuben,14,73.0
Ludwig Friedrich Otto Baumgarten-Crusius,40,55.0
Moses Hirschel,14,69.0
Gottfried Welsch,16,72.0
Daniel Clasen,13,56.0
Anton Dereser,13,70.0
Johann Samuel Schröter,22,73.0
Andreas Joseph Hofmann,22,97.0
Dietmar Rothermund,18,87.0
Johannes Khuen,14,69.0
Johann Nicolaus Mempel,22,34.0
Christian Friedrich Ludwig,26,72.0
Cristiano Herrgen,17,51.0
Johann Andreas Dieze,20,56.0
Philipp Friedrich Böddecker,27,76.0
Bernd Moeller,13,89.0
Countess Palatine Helena of Simmern,35,47.0
Christian Friedrich Schuricht,29,79.0
David Hoeschel,14,61.0
"Elisabeth of Hesse, Hereditary Princess of Saxony",49,55.0
Matthäus Aurogallus,19,53.0
Johann Christian Stark,22,58.0
Heinrich Wangnereck,19,69.0
Charlotte Maria Magdalena Ackermann,35,18.0
Karl Ludwig von Lecoq,21,75.0
Adolphus XIII of Holstein,25,45.0
Wilhelm Friedrich Gmelin,24,60.0
Johann Gottlieb Bötticher,25,85.0
August Carl Bock,16,51.0
Johannes Bonemilch,18,76.0
Karl Adolf von Plessen,22,80.0
Christian Siegfried von Plessen,31,77.0
Marquard Gude,13,54.0
Jeremias Friedrich Reuß,23,77.0
Ulrik Frederik von Suhm,23,72.0
Leopold Friedrich Günther von Goeckingk,39,80.0
Friedrich Ferdinand Flemming,28,35.0
Christoph Heinrich Amthor,25,44.0
Thomas Schäfer,14,54.0
Bernhard Boll,13,80.0
Johann Lorenz Bausch,20,60.0
Christoph Helvig,16,36.0
Hans Krafft the Elder,21,61.0
Count Ferdinand Edzard of East Frisia,37,32.0
Metta von Oberg,15,57.0
Adolph Wilhelm Otto,19,59.0
Moses Israel Fürst,18,75.0
Johann Octavian Salver,22,56.0
Johann Lorenz Fleischer,23,60.0
Johann Amadeus Wendt,20,53.0
Frederick of Solms-Rödelheim,28,75.0
Henry I,7,64.0
Adam Berg,9,70.0
Erhard Ernst von Röder,22,78.0
Abel Seyler,11,70.0
Johann Samuel Traugott Gehler,29,44.0
Christian von Nettelbladt,25,79.0
Friedrich Benedict Weber,24,74.0
Johann Benedict Carpzov,23,50.0
Johann Claudius von Lassaulx,28,67.0
Gottfried Wilhelm Sacer,23,64.0
Samuel Collenbusch,18,79.0
Philipp Friedrich Gmelin,24,47.0
Johann Wilhelm Petersen,23,78.0
Jacob Heerbrand,15,79.0
Eva von Buttlar,15,51.0
"Johanna of Hanau-Lichtenberg, Countess of Eberstein",51,65.0
Gertrude of Baden,17,25.0
Friedrich of Baden,18,51.0
"Rudolf II, Margrave of Hachberg-Sausenberg",42,51.0
Judith of Backnang,18,43.0
Heinrich Kurt Stever,20,40.0
Sophie Tieck,12,58.0
Johann Christian Quandt der Ältere,34,46.0
Johann Brever,13,84.0
Rolf von Bardewisch,19,47.0
Heinrich Göseken,16,69.0
Johann Friedrich Gauhe,22,74.0
Friedrich Schmalz,17,66.0
Christian Friedrich Segelbach,29,79.0
Alma von Goethe,15,17.0
Christian Wermuth,17,78.0
Christoph Semler,16,71.0
Gottfried Benjamin Hancke,25,55.0
Johann Christian Hallmann,25,69.0
Johann Georg Albinus,20,55.0
Johann Georg Albinus,20,55.0
Hermann Fellner,15,70.0
"Bernard IV, Lord of Lippe",25,45.0
Gustav Nikolaus Tiedemann,25,41.0
Susanna Margarete of Anhalt-Dessau,34,53.0
Michael Richey,14,83.0
Hendrik van Zutphen,19,36.0
Matthew Wesenbeck,17,55.0
Barbara Uthmann,15,63.0
Heinrich Decimator,18,72.0
Christian Gottfried Schütz,26,85.0
Konrad Mannert,14,78.0
Johann Philipp von Wurzelbauer,30,74.0
Andreas Röschlaub,17,67.0
Victor von Carben,17,93.0
Anton Günther von Münnich,25,71.0
Hans-Otto Peters,16,79.0
Johann Georg Bürgy,18,70.0
Joachim Wilhelm Geycke,22,72.0
Mikołaj z Bolesławia,20,11.0
Karl Friedrich Ludwig von Watzdorf,34,81.0
Ludwig Friedrich Julius von Zinzendorf,38,59.0
